unitid,inst_name,x,y,full_time_enrollment,part_time_enrollment,TAZ
228459,Texas State University,-97.93639,29.889202,29959.0,8020.0,145
483735,Total Transformation Institute of Cosmetology,-97.91814,29.88199,23.0,25.0,148
222992,Austin Community College District,-97.68172,30.333508,9031.0,32543.0,438
223001,Austin Presbyterian Theological Seminary,-97.737755,30.292635,88.0,71.0,208
223056,Baldwin Beauty School-South Austin,-97.783066,30.241667,43.0,,500
224004,Concordia University-Texas,-97.83625,30.420952,1258.0,1301.0,692
224712,Episcopal Theological Seminary of the Southwest,-97.73266,30.293097,45.0,51.0,206
225575,Huston-Tillotson University,-97.721695,30.264671,929.0,94.0,229
226903,Southern Careers Institute-Austin,-97.751366,30.239115,386.0,,556
227845,Saint Edward's University,-97.75763,30.229843,3731.0,889.0,558
228778,The University of Texas at Austin,-97.73924,30.286598,47007.0,3943.0,209
229090,The University of Texas System Office,-97.74381,30.26865,,,239
247825,Austin Graduate School of Theology,-97.71171,30.343788,7.0,37.0,387
364973,Le Cordon Bleu College of Culinary Arts-Austin,-97.7217,30.40077,604.0,,457
366678,ITT Technical Institute-Austin,-97.698975,30.322895,344.0,52.0,397
414489,Baldwin Beauty School-North Austin,-97.729195,30.365683,42.0,,402
429094,AOMA Graduate School of Integrative Medicine,-97.80088,30.22869,136.0,40.0,312
430704,Texas Health and Science University,-97.78529,30.233149,119.0,9.0,502
437635,The College of Health Care Professions-Austin,-97.71366,30.329462,301.0,,276
441751,Kussad Institute of Court Reporting,-97.74519,30.228945,,,557
441928,Virginia College-Austin,-97.69988,30.32044,213.0,339.0,508
442727,Everest Institute-Austin,-97.65532,30.329638,371.0,,438
444556,Auguste Escoffier School of Culinary Arts-Austin,-97.71787,30.32646,304.0,,275
451565,Paul Mitchell the School-Austin,-97.74212,30.38632,113.0,67.0,364
451820,The Art Institute of Austin,-97.67636,30.479555,738.0,306.0,645
451875,National American University-Austin,-97.697655,30.43869,30.0,108.0,453
454467,Regency Beauty Institute-Austin,-97.75813,30.220406,49.0,18.0,585
456144,MediaTech Institute-Austin,-97.76891,30.21466,69.0,,586
458070,Avenue Five Institute,-97.72795,30.36866,134.0,69.0,402
458973,Strayer University-Texas,-97.740234,30.37212,341.0,1437.0,311
476300,Career Point College -,-97.68882,30.353529,482.0,,400
480888,CyberTex Institute of Technology,-97.70288,30.32448,139.0,,397
482307,National American University-Austin South,-97.81459,30.208609,13.0,105.0,358
485290,National American University-Harold D. Buckingham Graduate School,-97.752174,30.35134,154.0,205.0,318
485953,The Recording Conservatory of Austin,-97.831055,30.36066,30.0,,708
228343,Southwestern University,-97.664635,30.635195,1500.0,15.0,894
246460,Central Texas Beauty College-Round Rock,-97.68951,30.519173,114.0,,864
467632,Regency Beauty Institute-Round Rock,-97.684,30.48055,63.0,18.0,918
480073,South University-Austin,-97.7514,30.459476,240.0,96.0,844
480912,Gemini School of Visual Arts & Communication,-97.8461,30.50924,24.0,,773
482325,National American University-Georgetown,-97.69558,30.63086,22.0,167.0,879
